,id,url,name,artist,album,explicit,popularity,duration_ms,key,mode,time_signature,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,label
269,5VSlplWVGj9b3HBUJ7Gsnz,https://open.spotify.com/track/5VSlplWVGj9b3HBUJ7Gsnz,Stick Around,Lukas Graham,3 (The Purple Album),False,47,192613,11,0,3,0.369,0.45,0.0411,0.478,6.97e-06,0.111,0.126,185.96099999999998,0
270,5mIOsPuQdXchVY0jB5NO9Q,https://open.spotify.com/track/5mIOsPuQdXchVY0jB5NO9Q,4EVER,Clairo,4EVER,False,71,159595,9,0,4,0.75,0.585,0.0285,0.049,0.005520000000000001,0.155,0.584,102.331,0
271,556b0qVFXcn1eXz1JYXHKg,https://open.spotify.com/track/556b0qVFXcn1eXz1JYXHKg,Your Loving,Will Davila,Your Loving,False,43,205502,10,1,4,0.6920000000000001,0.38,0.0392,0.5329999999999999,0.129,0.379,0.764,87.63,0
272,3ishRxjsqYVk6FdAGeeUAP,https://open.spotify.com/track/3ishRxjsqYVk6FdAGeeUAP,Set Piece,Vansire,Angel Youth,False,53,199490,1,0,4,0.541,0.483,0.0514,0.35100000000000003,0.4,0.111,0.6409999999999999,80.73,0
273,5HR0ti4siqbTIr1BitbZ7d,https://open.spotify.com/track/5HR0ti4siqbTIr1BitbZ7d,Eu Tô Bem,Luiz Lins,Eu Tô Bem,False,57,134504,0,1,4,0.851,0.496,0.24100000000000002,0.527,1.96e-06,0.106,0.8029999999999999,116.015,0
274,3k1Hjff2PVHCeFEhNLCtSa,https://open.spotify.com/track/3k1Hjff2PVHCeFEhNLCtSa,Vem Cá,Altamira,Altamira I,False,0,166661,11,1,4,0.753,0.396,0.133,0.525,0.0,0.182,0.7240000000000001,80.95100000000001,0
275,36CKza28wMxYdjdzji7ine,https://open.spotify.com/track/36CKza28wMxYdjdzji7ine,I Started A Joke,Bee Gees,Idea (Deluxe Edition),False,64,188306,7,1,4,0.31,0.46399999999999997,0.0275,0.156,8.94e-06,0.132,0.431,144.775,0
276,7McZS9J6h0SKoZBR6cfcFe,https://open.spotify.com/track/7McZS9J6h0SKoZBR6cfcFe,Apocalypse,Cigarettes After Sex,Cigarettes After Sex,False,56,290616,5,1,4,0.369,0.465,0.0277,0.0211,0.6,0.109,0.177,94.435,0
277,3QQaF7h44OcBlapuE0yWiC,https://open.spotify.com/track/3QQaF7h44OcBlapuE0yWiC,Young & Dumb,Cigarettes After Sex,Cigarettes After Sex,True,42,273896,0,1,4,0.39,0.52,0.0284,0.515,0.711,0.10099999999999999,0.239,96.566,0
278,7goptIL8LlgQy5aoVvSncR,https://open.spotify.com/track/7goptIL8LlgQy5aoVvSncR,You,Jacquees,Before Anythang (Original Motion Picture Soundtrack),True,0,217360,8,0,4,0.7440000000000001,0.45,0.067,0.4,0.0,0.129,0.325,114.945,0
279,6tHWl8ows5JOZq9Yfaqn3M,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M,Mine,Bazzi,Mine,True,12,133994,4,1,4,0.716,0.805,0.0856,0.013999999999999999,3.1e-06,0.29100000000000004,0.7190000000000001,142.886,0
280,23c9gmiiv7RCu7twft0Mym,https://open.spotify.com/track/23c9gmiiv7RCu7twft0Mym,Who Hurt You?,Daniel Caesar,Who Hurt You?,True,72,231964,11,0,4,0.649,0.493,0.11,0.586,0.000167,0.0667,0.27699999999999997,104.542,0
281,6d4E3KLrX4xiwx1DiIJefO,https://open.spotify.com/track/6d4E3KLrX4xiwx1DiIJefO,Petty Lover,Jaz Karis,Pretty Dreamer / Petty Lover,True,54,160654,6,1,5,0.763,0.36200000000000004,0.5720000000000001,0.8029999999999999,4.67e-06,0.16,0.5870000000000001,119.855,0
282,1Zz26uUewyiMfQEKYgZ7oh,https://open.spotify.com/track/1Zz26uUewyiMfQEKYgZ7oh,Cordao,Chico Buarque,Construção,False,33,149480,4,1,4,0.515,0.7090000000000001,0.0302,0.301,0.000147,0.152,0.8440000000000001,151.55700000000002,0
283,3FIuBxOxuQ6kYy8JO0gq2a,https://open.spotify.com/track/3FIuBxOxuQ6kYy8JO0gq2a,Construção,Chico Buarque,Construção,False,55,383626,4,0,4,0.479,0.725,0.0298,0.24,1.1900000000000001e-05,0.158,0.595,126.727,0
284,127twwy3iCo1xBRQHyWetU,https://open.spotify.com/track/127twwy3iCo1xBRQHyWetU,Cotidiano,Chico Buarque,Construção,False,51,168373,7,0,4,0.47700000000000004,0.835,0.0533,0.38,8.3e-06,0.062,0.778,89.855,0
285,4plcy0Ax6tiHdeOapKX4bA,https://open.spotify.com/track/4plcy0Ax6tiHdeOapKX4bA,High Tide,Sleep Good,Bohemian Grove,False,2,192866,5,1,4,0.7340000000000001,0.772,0.0357,0.6709999999999999,0.972,0.0854,0.835,125.913,0
286,3DjjbSZk16kPEpgjF0OCYN,https://open.spotify.com/track/3DjjbSZk16kPEpgjF0OCYN,888,Cavetown,Lemon Boy,False,53,215429,3,1,3,0.40299999999999997,0.324,0.0425,0.845,3.23e-06,0.0688,0.25,176.14700000000002,0
287,2lJ2dR5kqK6BE4gzh5YfsK,https://open.spotify.com/track/2lJ2dR5kqK6BE4gzh5YfsK,Juliet,Cavetown,Animal Kingdom: Sandy,False,57,278991,6,1,4,0.547,0.586,0.0313,0.00346,0.0011,0.0562,0.363,131.785,0
288,0ZXBFuXNtWSEFA3OWWSMCl,https://open.spotify.com/track/0ZXBFuXNtWSEFA3OWWSMCl,Waterfall,RICEWINE,Flood,True,42,280569,1,0,4,0.81,0.389,0.0451,0.845,0.858,0.34299999999999997,0.124,119.984,0
289,1zXX9sBeDiUDy4ugl8HrW5,https://open.spotify.com/track/1zXX9sBeDiUDy4ugl8HrW5,Dreams / Nightmares,RICEWINE,Mornings,True,43,242423,0,1,4,0.732,0.6940000000000001,0.0519,0.523,0.11599999999999999,0.136,0.306,96.045,0
290,4dkFG1pSn2czTCkLncpnep,https://open.spotify.com/track/4dkFG1pSn2czTCkLncpnep,Naquela Mesa,Nelson Gonçalves,Passado E Presente,False,49,182293,2,0,4,0.667,0.563,0.0375,0.722,0.0,0.1,0.848,116.941,0
291,3iRsaOIjbyTpFX9xWyWQz3,https://open.spotify.com/track/3iRsaOIjbyTpFX9xWyWQz3,Noturna (Nada de Novo na Noite),Silva,Silva Canta Marisa,False,40,156933,7,0,4,0.444,0.23199999999999998,0.0311,0.9740000000000001,3.15e-05,0.225,0.541,77.035,0
292,3oVI4L3rUkawtbRo2GsOZh,https://open.spotify.com/track/3oVI4L3rUkawtbRo2GsOZh,Sambinha Bom,Mallu Magalhães,Pitanga,False,48,175106,9,1,4,0.654,0.406,0.054000000000000006,0.762,0.00824,0.261,0.579,143.976,0
293,4gFlHAye7To29Fs4UszQUH,https://open.spotify.com/track/4gFlHAye7To29Fs4UszQUH,I Get Along Without You Very Well (Except Sometimes) - Vocal Version,Chet Baker,Chet Baker Sings,False,56,179640,10,1,3,0.442,0.033,0.040999999999999995,0.922,0.000171,0.151,0.21,103.34,0
294,06UkYE0SZ3Y8zGRFOuWGAe,https://open.spotify.com/track/06UkYE0SZ3Y8zGRFOuWGAe,It's Always You - Vocal Version,Chet Baker,Chet Baker Sings,False,60,215466,8,1,4,0.499,0.0341,0.0417,0.9229999999999999,5.27e-05,0.131,0.31,81.735,0
295,0CaqEVnLB5plVzrlrMjfKT,https://open.spotify.com/track/0CaqEVnLB5plVzrlrMjfKT,Like Someone In Love - Remastered,Frank Sinatra,Songs For Young Lovers,False,31,188853,8,1,4,0.33399999999999996,0.153,0.0328,0.943,0.000964,0.115,0.179,59.878,0
296,0x0ffSAP6PkdoDgHOfroof,https://open.spotify.com/track/0x0ffSAP6PkdoDgHOfroof,My Funny Valentine - Remastered,Frank Sinatra,Songs For Young Lovers,False,48,150666,11,0,4,0.257,0.125,0.0332,0.8909999999999999,0.0,0.10800000000000001,0.245,84.93,0
297,07vtuaY3Ym8jf76SJ8g7ar,https://open.spotify.com/track/07vtuaY3Ym8jf76SJ8g7ar,But Not For Me,Diana Krall,Love Is Here To Stay,False,44,185306,5,1,3,0.52,0.0503,0.0433,0.976,1.22e-06,0.12300000000000001,0.29600000000000004,105.37100000000001,0
298,1HEGcv63IZ7TPncpVKdVdN,https://open.spotify.com/track/1HEGcv63IZ7TPncpVKdVdN,My One And Only Love,John Coltrane,John Coltrane & Johnny Hartman,False,58,294306,0,1,4,0.466,0.0718,0.0374,0.9840000000000001,0.0009310000000000001,0.107,0.196,121.885,0
299,0F845nujLVqCb0XMZCh5Pc,https://open.spotify.com/track/0F845nujLVqCb0XMZCh5Pc,I Fall In Love Too Easily - Vocal Version,Chet Baker,Chet Baker Sings,False,63,201440,0,0,4,0.532,0.0657,0.0406,0.94,0.00488,0.0946,0.292,128.607,0
300,1nX1R4vMHDeyliGNuTAjnH,https://open.spotify.com/track/1nX1R4vMHDeyliGNuTAjnH,O Tiro,Scatolove,Lei de Muffin,False,42,143230,0,1,4,0.615,0.223,0.0353,0.81,5.84e-06,0.332,0.237,129.8,0
301,4Sr6N2pJXCb5VjdknAjblG,https://open.spotify.com/track/4Sr6N2pJXCb5VjdknAjblG,"What Is Love? Tell Me, Is It Easy?",Hala,Spoonfed,False,57,230546,7,1,4,0.8009999999999999,0.41,0.0322,0.187,0.0258,0.0993,0.7190000000000001,125.133,0
